title,company_name,location,salary_extension,salary_unit,experience_required,education_required,skills,welfareList
C/C++开发工程师,分汇科技,肇庆,10-13K,月薪,1-3年,本科,C++ C QT开发经验 音视频编解码 Linux FFmpeg 流媒体开发经验 计算机图形学 音视频/流媒体开发 音视频开发经验,年终奖 股票期权
c++软件工程师,广东剑坤科技,肇庆,11-22K·13薪,月薪,3-5年,本科,C# C++ QT 上位机开发经验,生日福利 团建聚餐 加班补助 包吃 员工旅游 节日福利 年终奖 五险一金
嵌入式工程师-双休包吃住,寻迹医疗,肇庆,5-10K,月薪,1-3年,大专,C++ C 嵌入式/单片机开发经验,五险一金 员工旅游 包吃
软件工程师,广东迪恩自动化科技,肇庆,8-12K,月薪,3-5年,大专,Java C/C++ JavaScript Vue 前端开发经验 全栈项目经验,绩效奖金 年终奖 五险一金
C++教师,广东纯臻文化科技,肇庆,80-100元/时,月薪,1年以内,大专,,底薪加提成 保底工资 团建聚餐 工龄奖 五险一金 绩效奖金 员工旅游 有无线网 免费工装 补充医疗保险
分拣机系统开发,肇庆市仓擎智能科技,肇庆,10-15K,月薪,3-5年,大专,C# C++ MySQL 上位机开发经验,股票期权
半导体测试工程师,广东协铖,肇庆,7-10K,月薪,1-3年,大专,,餐补 五险 全勤奖
高级视觉工程师（五险一金，包吃住）,俊杰机械(广东)...,肇庆,20-35K,月薪,3-5年,大专,机器学习 图像生成 C/C++ Python 图像处理库（OpenCV等） 团队管理经验,全勤奖 绩效奖金 年终奖 带薪年假 生日福利 五险一金 住房补贴 节日福利 包吃包住
UE5开发工程师,广东三胜智能科技,肇庆,9-14K,月薪,1-3年,本科,Unity3D UE4 计算机/软件工程相关专业,餐补 底薪加提成 包吃 五险一金 节日福利 股票期权 全勤奖 保底工资 企业年金 带薪年假 包住 加班补助 生日福利 团建聚餐 住房补贴 绩效奖金 交通补助 有无线网 工龄奖 年终奖
ai工程师,广东创智智能装备,肇庆,8-12K,月薪,3-5年,本科,Java Python C/C++ 后端开发经验 计算机相关专业,高温补贴 生日福利 年终奖 宿舍有空调 绩效奖金 团建聚餐 通讯补贴 免费工装 带薪年假 周末双休 夜班补助 定期体检 底薪加提成 包吃 包住 加班补助 五险一金 意外险 节日福利
UI软件工程师,中导光电,肇庆,8-13K,月薪,3-5年,本科,C# MySQL SQL Server,五险一金 通讯补贴 员工旅游 带薪年假 餐补 免费班车
C/C++,端州区乐时光游艺...,肇庆,150-200元/天,月薪,,本科,,
Qt/C++开发工程师,静然灯控,肇庆,11-20K,月薪,1-3年,本科,音视频经验 C++ QT 嵌入式软件经验 Linux开发/部署经验,绩效奖金 加班补助 全勤奖 包吃 年终奖 宿舍有空调 有无线网 节假日加班费 工龄奖 意外险 员工旅游 生日福利
